N°,POR,FRA,GEO,HIS,FIS,QUI,FIL,SOC,BIO,MAT,DES
1,"7,1","8,0","9,4","8,0","0,0","7,7","8,2","8,3","7,3","7,1","6,0"
2,"5,3","7,9","7,8","3,5","4,0","6,4","7,4","7,3","3,8",(*),"6,0"
3,"7,1","8,0","7,2","8,1","4,0","9,0","7,7","9,1","7,6","6,8","8,1"
4,"7,0","7,5","8,1","8,7","4,0","7,5","8,2","7,4","7,4","4,7","6,4"
5,"6,8","8,5","9,5","6,0","4,0","5,3","6,7","8,1","6,9","5,1","6,9"
6,"7,1","8,1","8,4","9,0","4,0","7,4","7,4","8,0","6,1","6,9","8,5"
7,"6,7","8,1","9,0","7,8","0,0","8,7","7,6","9,1","4,4","6,4","7,0"
8,"7,1","8,0","8,1","8,2","0,0","6,7","8,2","9,1","5,5","3,2","6,0"
9,"7,5","7,7","7,8","7,5","4,0","9,0","7,3","9,6","7,7","8,6","9,9"
10,"5,1","7,7","8,6","6,4","4,0","6,1","6,4","8,7","5,0","6,1","3,9"
11,"6,7","10,0","8,7","9,1","4,0","9,5","8,8","9,3","7,0","8,1","8,2"
12,"8,3","10,0","9,7","9,8","7,5","8,0","9,3","9,8","8,6","9,0","7,5"
13,"7,7","8,1","10,0","8,0","4,0","7,2","8,6","9,2","7,2","7,0","8,1"
14,"7,2","8,2","8,8","8,1","4,0","7,6","7,7","9,4","4,9","6,0","8,7"
15,"7,3","7,7","7,3","9,6","4,0","7,9","8,2","8,1","6,1","7,9","6,4"
16,"8,0","7,5","8,4","7,5","4,0","8,2","9,4","8,2","8,9","7,5","7,5"
17,"7,2","8,7","8,9","9,0","4,0","8,0","9,4","8,4","8,5","10,0","9,5"
18,"8,4","9,7","9,7","7,3","4,0","7,6","9,4","7,9","7,7","10,0","8,9"
19,"8,1","7,8","9,5","6,6","0,0","6,2","8,6","7,7","6,4","5,0","6,2"
20,"7,5","7,6","8,7","9,7","4,0","9,0","7,7","8,4","6,2","7,1","6,1"
21,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*)
22,"7,1","6,7","9,0","7,1","4,0","6,9","8,0","8,1","6,3","5,9","6,7"
23,"8,8","10,0","9,3","8,9","4,0","8,2","8,3","9,8","10,0","9,1","9,7"
24,"7,0","7,1","8,9","8,2","0,0","6,1","9,0","9,5","4,8","6,2","6,0"
25,"6,0","7,6","7,6","7,8","4,0","7,8","7,2","7,4","4,3","4,9","6,0"
26,"7,3","7,7","9,0","6,0","4,0","7,3","7,8","6,5","5,3","5,5","6,0"
27,"7,0","8,6","9,5","6,2","4,0","5,7","8,0","8,3","7,2","5,1","6,1"
28,"6,7","7,5","10,0","8,3","4,0","6,1","6,9","9,6","6,0","7,6","6,0"
29,"2,7","7,9","6,8","5,0","4,0","6,0","6,0","6,9","4,2","3,7","6,0"
30,"6,0","7,6","8,5","3,6","0,0","4,5","7,5","6,8","6,0","5,5","3,6"
31,"8,6","7,8","9,3","9,6","4,0","7,6","9,4","9,8","7,4","8,1","9,4"
32,"8,3","8,2","8,8","8,8","0,0","7,1","9,8","8,6","4,5","6,5","6,0"
33,"7,4","7,8","8,2","7,4","4,0","8,4","6,3","7,8","8,0","8,2","8,5"
34,"6,1","7,7","8,6","8,7","4,0","5,1","7,8","8,6","5,6","4,1","6,5"
35,"3,0","5,0","7,5","4,2","4,0","4,0","6,5","7,2","5,2","3,5","6,0"
36,"1,3","7,4","9,5","2,3","4,0","7,5","1,6","8,6","5,7","6,5","10,0"
37,"1,3","7,3","10,0","5,6","0,0","6,9","3,6","8,4","0,0","3,6","3,0"
